Symbology_ID,SymbolType,Key,NonPaddedKey,Description,Symbol
Symbol11,Line,AZGS.2428,AZGS.2428,felsic dike,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""2.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""offsetAlongLine"":5.5000062992125986,""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[245,122,182,100]}}]}}"
Symbol12,Line,AZGS.2427,AZGS.2427,felsic dike,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[245,122,182,100]}}]}}"
Symbol13,Line,AZGS.2426,AZGS.2426,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""3.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""offsetAlongLine"":5.5000062992125986,""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""2.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMHSVColor"",""values"":[30,100,100,100]}}]}}"
Symbol14,Line,AZGS.2425,AZGS.2425,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""2.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMHSVColor"",""values"":[30,100,100,100]}}]}}"
Symbol15,Line,AZGS.2424,AZGS.2424,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""2.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""offsetAlongLine"":5.5000062992125986,""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[230,0,0,100]}}]}}"
Symbol16,Line,AZGS.2423,AZGS.2423,dike,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[230,0,0,100]}}]}}"
Symbol17,Line,AZGS.2422,AZGS.2422,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""2.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""offsetAlongLine"":5.5000062992125986,""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[255,0,197,100]}}]}}"
Symbol18,Line,AZGS.2421,AZGS.2421,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[255,0,197,100]}}]}}"
Symbol19,Line,AZGS.2420,AZGS.2420,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""2.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""offsetAlongLine"":5.5000062992125986,""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[56,168,0,100]}}]}}"
Symbol20,Line,AZGS.2419,AZGS.2419,air photo lineament,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[56,168,0,100]}}]}}"
Symbol21,Line,AZGS.2418,AZGS.2418,intermediate dike,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""1.0"",""dashTemplate"":[11,2.9999899999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""2.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[0,169,230,100]}}]}}"
Symbol22,Line,AZGS.2417,AZGS.2417,intermediate dike,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":2,""color"":{""type"":""CIMRGBColor"",""values"":[0,169,230,100]}}]}}"
Symbol23,Line,AZGS.2288,AZGS.2288,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMVectorMarker"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""5.0"",""dashTemplate"":[0.01,4.0499999999999998,2.2000000000000002,6.6299999999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""2.0"",""anchorPoint"":{""x"":0,""y"":0},""anchorPointUnits"":""Relative"",""dominantSizeAxis3D"":""Z"",""size"":2.1259999999999999,""billboardMode3D"":""FaceNearPlane"",""markerPlacement"":{""type"":""CIMMarkerPlacementAlongLineSameSize"",""primitiveName"":""3.1"",""angleToLine"":true,""controlPointPlacement"":""WithHalfGap"",""endings"":""WithHalfGap"",""placementTemplate"":[12.68]},""frame"":{""xmin"":-1.1,""ymin"":-1.1,""xmax"":1.1,""ymax"":1.1},""markerGraphics"":[{""type"":""CIMMarkerGraphic"",""geometry"":{""curveRings"":[[[-0.001,1.1],[-0.001,1.1],{""b"":[[0.424,1.014],[0.149,1.1],[0.291,1.071]]},{""b"":[[0.775,0.78],[0.558,0.957],[0.674,0.879]]},{""b"":[[1.013,0.431],[0.874,0.681],[0.953,0.565]]},{""b"":[[1.1,-0.001],[1.071,0.296],[1.1,0.152]]},{""b"":[[1.013,-0.431],[1.1,-0.153],[1.071,-0.297]]},{""b"":[[0.775,-0.781],[0.953,-0.565],[0.874,-0.682]]},{""b"":[[0.424,-1.015],[0.674,-0.881],[0.558,-0.959]]},{""b"":[[-0.001,-1.1],[0.291,-1.072],[0.149,-1.1]]},{""b"":[[-0.431,-1.015],[-0.153,-1.1],[-0.296,-1.072]]},{""b"":[[-0.78,-0.781],[-0.565,-0.959],[-0.681,-0.881]]},{""b"":[[-1.014,-0.431],[-0.879,-0.682],[-0.957,-0.565]]},{""b"":[[-1.1,-0.001],[-1.071,-0.297],[-1.1,-0.153]]},{""b"":[[-1.014,0.431],[-1.1,0.152],[-1.071,0.296]]},{""b"":[[-0.78,0.78],[-0.957,0.565],[-0.879,0.681]]},{""b"":[[-0.431,1.014],[-0.681,0.879],[-0.565,0.957]]},{""b"":[[-0.001,1.1],[-0.296,1.071],[-0.153,1.1]]}]]},""symbol"":{""type"":""CIMPolygonSymbol"",""symbolLayers"":[{""type"":""CIMSolidFill"",""enable"":true,""color"":{""type"":""CIMCMYKColor"",""values"":[0,100,91,0,100]}}]}}],""scaleSymbolsProportionally"":true,""respectFrame"":true},{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""4.0"",""dashTemplate"":[10.300000000000001,2.3799999999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":0.72000000000000008,""color"":{""type"":""CIMCMYKColor"",""values"":[0,100,91,0,100]}}]}}"
Symbol24,Line,AZGS.1107,AZGS.1107,marker bed,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""5.0"",""dashTemplate"":[56.692900000000002,1.5873999999999999,0.79370099999999999,1.5873999999999999,0.79370099999999999,1.5873999999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":1,""color"":{""type"":""CIMRGBColor"",""values"":[0,92,230,100]}}]}}"
Symbol25,Line,AZGS.1106,AZGS.1106,marker bed,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""5.0"",""dashTemplate"":[56.692900000000002,1.5873999999999999,0.79370099999999999,1.5873999999999999,0.79370099999999999,1.5873999999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":1,""color"":{""type"":""CIMRGBColor"",""values"":[169,0,230,100]}}]}}"
Symbol26,Line,AZGS.1105,AZGS.1105,A custom AZGS symbol,"{""type"": ""CIMSymbolReference"", ""symbol"": {""type"":""CIMLineSymbol"",""symbolLayers"":[{""type"":""CIMSolidStroke"",""effects"":[{""type"":""CIMGeometricEffectDashes"",""primitiveName"":""5.0"",""dashTemplate"":[56.692900000000002,1.5873999999999999,0.79370099999999999,1.5873999999999999,0.79370099999999999,1.5873999999999999],""lineDashEnding"":""NoConstraint"",""controlPointEnding"":""NoConstraint""}],""enable"":true,""colorLocked"":true,""primitiveName"":""1.0"",""capStyle"":""Butt"",""joinStyle"":""Round"",""lineStyle3D"":""Strip"",""miterLimit"":10,""width"":1,""color"":{""type"":""CIMRGBColor"",""values"":[245,122,182,100]}}]}}"
